topic,tfidfscore
drinks,0.008045639980539483
ocean_trout,0.05168354567434253
menu,0.024210882579636883
dessert,0.020101205157455768
seafood,0.02995916268563849
oysters,0.03198571857135508
cheese,0.05137902384653801
fish,0.03758731866143647
cocktails,0.027890954420206695
meal,0.00585231752952922
food,-0.10965922546690854
dinner,0.022930198089705624
chips,0.021810558693992756
egg,0.029634323296577163
dishes,0.011982819908417956
drink,0.01544109215543774
sides,0.02742117847040419
dish,0.014459429076171424
hour_menu,0.06066008383690494
rib_sandwich,0.07189175428004643
prime_rib,0.02457523674849096
bread,0.014769636443124916
appetizers,0.02126776071607644
