id,text
0,"I love Greek food!!!!  Filling and full of flavor.  No wonder they call this place the Fat Greek, I can hardly stop shoving my face when I'm there.
So, The Fat Greek was a pleasant discovery one weekend when i was strolling in a shopping center during lunch time.  It's not cozy, it's decorated in traditional blue and white, with some grapes here and there, but once you sit down you realize....you're here to eat.
The Fat Greek is family owned and operated....and they are so happy to help you choose  something wonderful from their menu.  I recommend a bottle or two of Mythos beer, (oh yeah, they have a full bar. OPA!) and the beef kabob, with a appetizer of their homemade Hummus and fresh pita's.  WORD to the taste buds."
1,"been to the fat greek several times, most recently for din din tonite with the gf.
ordered the usual starters - hummus and stuffed grape leaves - enjoyed both.
gf went with the standard gyro, i tried the lamb shanks with orzo.  total price with drinks $35.  unfortunately, due to time constraints, after the apps and the soup that came with my dinner, we had to take the rest to go.  btw - the soup, a chicken and rice with dill and a little citrus-y tang was delicious !
after dropping the gf off at work, made it home for the shanks - 2 huge chunks of lamb and a big 'ol pile of orzo.  the lamb meat - tender and plenty of meat on dem bones !!  only prob - didn't  have anything to scoop out the gold in them thar shanks - actually used a toothpick !
surprised to see a little italian cafe next to FAt Greek - one more place to try !
happy eating !"
2,"So. This is the next best thing to my mommy's home cooking [which is currently 500+mi away :(]. Souflaki (lamb shish kabob) was soooo good! They cooked it exactly how I asked. The fries that come with it would super good for some reason...pretty sure fries aren't a Greek specialty haha. Tiropitas (cheese pies) were pretty good. Nothing to write home about, but I'm too lazy to cook I'll definitely pop in here for a couple orders! Service was good. Casual dining but good food and reasonable prices."
3,"WoW!
I've been a #1 fan of Greek food years, and when I crave it in Vegas, this is where I end up... First couple of times I was amazed @ the fresh taste, but couldn't understand the wait.. I peeked in the kitchen to see them chopping the parsley for my tabouli...""Could they be making it fresh evertime?"" You bet'cha! and the prices are very reasonable, staff is amazing.
Don't miss it!!
Jason"
4,"great food, even better customer service! p.s. the lamb is awesome!!!"
5,"I'm updating to improve my review to 4 stars.  They've expanded the restaurant and improved the service.  Food is still great.  Best Greek food I've had in a long time.
Good food, especially the gyros.  Greek salad was made with great olive oil and the flavor really improves the dish, especially compared to the vinagrette they put on at most Greek restaurants."
6,"This place was packed with a wait at lunch time - definitely a great sign! Service was friendly and prices were decent.
Gyro Supreme - $6.75 or so (add $1.75 for drink + fries/rice). Great gyro meat, soft warm pita bread and tons of feta and tzatziki sauce! I've actually never had a gyro with feta cheese - but it was a welcome addition !"
7,"I stumbled upon this place on my way to the airport.  What a pleasant suprise!
I got there around 11:00 am and there was only one table available.  Within minutes there was a line out the door.  I ordered something safe - gyro with french fries.  I was disappointed with myself when I saw the entrees and salads being served to the other table.  In a few minutes I received my order and I was impressed.  The meat was tender yet crispy on the outside, the pita was soft, the sause was exactly what it should be and the french fries were delicious.
If I lived in Vegas I would eat here at least once a week.  Oh, and the prices are great!"
8,"Yelp to the rescue, once again!!  This place is an AWESOME off-the-strip find.  High quality, delicious food for really reasonable (almost cheap) prices.  We went in the afternoon and it wasn't busy at all, so we had excellent service.  It's in a strip mall, but nicely decorated in the standard blue and white Greek style.  A huge menu, lots of options and you get sides with most of the dishes (a plus for me).  I had the flatbread sandwich with veggies, feta, and tzatziki, and my pal had the gyros and fries.  Everything was flavorful and delicious.  I wish we had a Greek place this cheap and good in LA!"
9,"Great place, reasonably priced the food was really good everything was fresh and the restaurant was spotless."
10,"Yay YELP! Came here based on other reviews, and had a great meal, well, meals!
Way better than your average Greek place. Had a delicious gyro for lunch. The fries were amazing also. Liked it so much I went back for diner the following night.
Had the Gyro salad, with a side of falafels, and an appetizer of, I forget the name, but it was fried cheese, VERY good. The falafels were not dry, came with an delicious sauce and went well with the salad but would be great by itself too. Lots of people order salads there it seems, and their olive oil was extremely good.
Met the owner, who was very nice. He truly is a fat Greek :)  He's happy and takes pride in his restaurant.
I highly recommend The Fat Greek for lunch or diner!"
11,"Located right outside the strip next door to a food 4 less supermarket and fortunately right down the street from my place.
this Greeks is AWESOME! it's affordable, family owned, very nice people, and good quality food. the owner is really a fat greek lol and he's very nice.
you should give it a try, you won't be disappointed."
12,"This is my first yelp review. We went to The Fat Greek, based on the yelp reviews, and were not disappointed. This is a small restaurant in a strip mall.  The food was very tasty and reasonably priced. Large portions served by a charming staff.  Bright and clean is the best way to describe the ambiance. This is the best Greek food I've eaten in Vegas."
13,"Discovered this place a few years ago. Fell for the gyros instantly, over time, I've learned that the whole menu is great. I've been dozens of times and never been disappointed. Taken friends and family, it's always a hit.
Saganaki  & gyros are great for lunch, at dinner the combo plate is a great way to sample a variety, the lamb dishes are excellent, too. I'm also a fan of the lentil soup and pastries are treat if you are able to save room."
14,"Awesome! Great service, great food, great prices!"
15,"A solid 4 stars and maybe a little more. The staff, definitely imported, need to work on their friendliness a little bit. They did their jobs well but seemed a bit on the stiff side and need to liven up just a bit for this environment.
Wifey had a big salad with chicken that she liked. It was a Greek salad with calamata olives, feta and a few other traditional ingredients. I had the traditional gyro, no lettuce!, and it was very good. The fries with melted feta on them are outstanding! We'll definitely be going back when we're in the neighborhood."
